devicename,platform
G2,ANDROID
V5,ANDROID
Y65,ANDROID
Axon 7,ANDROID
Tab3 7,ANDROID
Galaxy Sol,ANDROID
Xperia J,ANDROID
A7600,ANDROID
Mi Pad,ANDROID
Galaxy Xcover 2,ANDROID
Galaxy A8 (2018),ANDROID
Galaxy S4 Value Edition,ANDROID
Cat S40,ANDROID
Tab3 10,ANDROID
Fire Tab 3,ANDROID
Galaxy Xcover 3,ANDROID
Desire 610,ANDROID
One Mini,ANDROID
Note 5A,ANDROID
Mi 4 LTE,ANDROID
MediaPad M3 Lite,ANDROID
2,ANDROID
ZenFone Max,ANDROID
A338,ANDROID
Honor 8,ANDROID
Iconia One 8,ANDROID
Le 1s Eco,ANDROID
A37f,ANDROID
Harry,ANDROID
Xperia XA1 Dual,ANDROID
iPhone 6 Plus,IOS
Galaxy Grand 2,ANDROID
Lotus,ANDROID
Galaxy Grand,ANDROID
iPhone 4S,IOS
Galaxy S5 Active,ANDROID
X6 Pro,ANDROID
Ascend Y320,ANDROID
M808,ANDROID
A6000,ANDROID
Zenfone 3 Zoom,ANDROID
Redmi Note 2,ANDROID
Not3,ANDROID
A510,ANDROID
Andromax Es,ANDROID
Ascend Y300,ANDROID
Xperia E dual,ANDROID
NIL,ANDROID
Liquid Z500,ANDROID
Xperia XA1,ANDROID
Pepsi Phone,ANDROID
R11,ANDROID
Desire 601,ANDROID
Y21,ANDROID
ZenFone 3 Max,ANDROID
One Touch Pop C2,ANDROID
J5,ANDROID
Blade A520,ANDROID
8,ANDROID
Galaxy J7 Max,ANDROID
GSmart,ANDROID
Vibe Z2 Pro,ANDROID
A6600 Plus,ANDROID
Vibe K5,ANDROID
xPad,ANDROID
Galaxy S3,ANDROID
Galaxy Ace 2,ANDROID
Joy 3,ANDROID
Y51,ANDROID
J5 Plus,ANDROID
Xperia Z,ANDROID
Android TV Box,ANDROID
Aquos Xx,ANDROID
Galaxy Note 3 Neo TD-LTE,ANDROID
Galaxy Tab 3 7.0 Kids,ANDROID
G5 SE,ANDROID
iPad,IOS
P8max,ANDROID
P8 Lite,ANDROID
Galaxy A8 (2016),ANDROID
T8,ANDROID
Galaxy Young,ANDROID
V965,ANDROID
ZenFone Go 6.9,ANDROID
Galaxy J1 Mini Prime 2016 (Dual Sim),ANDROID
Tab 3 10 Business,ANDROID
Hitman,ANDROID
Galaxy Tab4 7.0 3G,ANDROID
Stylus 2,ANDROID
Galaxy Tab 2 10.1,ANDROID
Zenfone 3,ANDROID
Snowy,ANDROID
Galaxy Trend Plus,ANDROID
A5,ANDROID
Blade A320,ANDROID
Galaxy S3 Mini,ANDROID
IdeaTab A1000,ANDROID
Honor Note 8,ANDROID
J5 (2017),ANDROID
C5L,ANDROID
Star 1,ANDROID
Desire 728 dual sim,ANDROID
Mytab U55GT,ANDROID
Galaxy Tab J,ANDROID
Alfa 5,ANDROID
Galaxy S5 Duos,ANDROID
Galaxy Tab 10.1,ANDROID
Honor 8 Lite,ANDROID
Blade A510,ANDROID
R9 Plus,ANDROID
Liquid Z3,ANDROID
Find 7,ANDROID
X Compact,ANDROID
Moto G (3rd Gen),ANDROID
Desire 628 dual sim,ANDROID
K4000,ANDROID
Galaxy Tab E 8.0,ANDROID
Canvas Juice 2,ANDROID
Getaway,ANDROID
Galaxy Mega 5.8,ANDROID
Xperia Z3 Dual,ANDROID
MediaPad T2 7.0 Pro,ANDROID
A2010,ANDROID
Galaxy J7,ANDROID
Yoyo,ANDROID
V5 Lite,ANDROID
Mi 5X,ANDROID
MediaPad 7 Youth2,ANDROID
Homtom HT7,ANDROID
Pegasus,ANDROID
Nova Plus,ANDROID
M5 Note,ANDROID
Leap,ANDROID
Liquid Z630S,ANDROID
Live,ANDROID
Galaxy J3 (2016),ANDROID
OneTouch Pixi 4 (6),ANDROID
Super,ANDROID
A37,ANDROID
A3 7,ANDROID
Xperia Z2,ANDROID
Galaxy Note Pro 12.2,ANDROID
R9s,ANDROID
Moto G5S Plus,ANDROID
Xperia XA Ultra,ANDROID
Xperia Z1,ANDROID
Moto G4,ANDROID
Galaxy J2,ANDROID
S60,ANDROID
Mix 2,ANDROID
Ascend Y600,ANDROID
U Feel Prime,ANDROID
P70-A,ANDROID
Y55,ANDROID
Galaxy A7 (2016),ANDROID
P90,ANDROID
Iconia Tab A200,ANDROID
Galaxy Note 3 Neo LTE,ANDROID
Xperia T2 Ultra Dual,ANDROID
One Touch Pop D3,ANDROID
G8 Premium Edition,ANDROID
One Touch Pixi 3,ANDROID
Desire 728,ANDROID
Samurai Rei,ANDROID
Hot 3,ANDROID
Edge/Supreme,ANDROID
Galaxy S6 Edge Plus,ANDROID
Nova 2i,ANDROID
M3E,ANDROID
Galaxy Music,ANDROID
Xplay3S,ANDROID
Crown,ANDROID
GR5,ANDROID
Homtom HT7 Pro,ANDROID
Galaxy Tab 3 8.0,ANDROID
V3,ANDROID
Note Grace V,ANDROID
Galaxy A5 (2017),ANDROID
Galaxy S8 Plus,ANDROID
Joy Plus,ANDROID
Zenfone 6,ANDROID
MediaPad 7 Youth,ANDROID
Xperia C4,ANDROID
Neo 7,ANDROID
Valencia2,ANDROID
