devicename,platform
Galaxy Note 5 LTE-A,ANDROID
Galaxy J7 (2017),ANDROID
ZenFone 3 Deluxe,ANDROID
Aquos Phone xx mini,ANDROID
Mi 6,ANDROID
V5 Plus,ANDROID
MediaPad T2,ANDROID
Galaxy J2 Duos,ANDROID
Altitude,ANDROID
Swift,ANDROID
MX4,ANDROID
Moto X 2nd Gen,ANDROID
Bolt Q346,ANDROID
Vibe S1,ANDROID
X5Pro,ANDROID
Galaxy Express,ANDROID
Mi A1,ANDROID
Iconia A1-810,ANDROID
IdeaTab S6000,ANDROID
V5s,ANDROID
Xperia M2 Dual,ANDROID
3D Life+,ANDROID
F5 Youth,ANDROID
A680,ANDROID
P8 Standard Edition,ANDROID
Galaxy S8,ANDROID
Butterfly S,ANDROID
Galaxy Pocket Plus,ANDROID
Liquid S1,ANDROID
Zenfone 4,ANDROID
ZenFone 6,ANDROID
Y69,ANDROID
Winner T,ANDROID
Desire 826 Dual Sim,ANDROID
Honor 4X,ANDROID
V3 Max,ANDROID
Andromeda S910,ANDROID
MediaPad X1,ANDROID
Ultaa Tab U2,ANDROID
Desire 820us,ANDROID
Elite 5,ANDROID
Ascend Y221,ANDROID
Q6,ANDROID
Infinium,ANDROID
Nubia Z9 Mini,ANDROID
Vibe C2,ANDROID
Xperia XA Dual,ANDROID
Galaxy S4 LTE-A,ANDROID
One Touch Pixi 4 (7),ANDROID
Vibe,ANDROID
IdeaTab A3000-H,ANDROID
Galaxy Mega 6.3,ANDROID
One ME Dual Sim,ANDROID
Lead 3,ANDROID
One Touch Flash,ANDROID
Galaxy J1 Ace Duos,ANDROID
Galaxy C7 Pro,ANDROID
One E8 Dual Sim,ANDROID
Honor 6 Plus,ANDROID
Mate 9,ANDROID
Xperia E5,ANDROID
Galaxy Star Pro,ANDROID
Galaxy J5 2016,ANDROID
Y7,ANDROID
Galaxy On,ANDROID
Xperia M5 Dual,ANDROID
Galaxy J1 Mini (2016),ANDROID
Aurora,ANDROID
One Touch Pop C,ANDROID
Galaxy Grand On,ANDROID
Le 1s,ANDROID
One M7,ANDROID
Butterfly,ANDROID
Black Pearl,ANDROID
Racer,ANDROID
YotaPhone 2,ANDROID
Xperia Z Ultra,ANDROID
Nubia Z17,ANDROID
Galaxy Young 2,ANDROID
Pixel 2,ANDROID
HIT 4G,ANDROID
Idol 4s,ANDROID
S920,ANDROID
Galaxy Grand Quattro,ANDROID
Galaxy S3 Alpha,ANDROID
Leo,ANDROID
Zenfone 3 Max,ANDROID
Galaxy S3 Mini Value Edition,ANDROID
Xperia SP,ANDROID
Galaxy Tab 3 Lite,ANDROID
Galaxy Tab 8.9,ANDROID
